distance_Angstrom,PBE,distance_Angstrom,TS,distance_Angstrom,FT
1.9,3.97666815,0.1,1225.297052,0.1,195385.4209
2,1.19792349,0.2,1776.104669,0.2,86538.29407
2.1,-0.52458068,0.3,392.3638854,0.3,20335.1719
2.2,-1.55147956,0.4,15.99418783,0.4,2195.063147
2.3,-2.12164058,0.5,3.489425421,0.5,87.4581665
2.4,-2.39430857,0.6,0.745923996,0.6,36.81487318
2.5,-2.47607193,0.7,-0.182067871,0.7,28.40799149
2.6,-2.43813623,0.8,-0.548075676,0.8,17.72833844
2.7,-2.32781083,0.9,-0.56182766,0.9,12.95183331
2.8,-2.17637194,1,-0.486159801,1,11.27674523
2.9,-2.00435953,1.1,-0.271123409,1.1,10.95540523
3,-1.82510283,1.2,0.429429054,1.2,11.33605265
3.5,-1.02254163,1.3,0.914658546,1.3,11.40287751
4,-0.49175407,1.4,-8.227284908,1.4,10.58032141
4.5,-0.17822141,1.5,-34.70661783,1.5,9.281883008
5,0,1.6,-33.9941926,1.6,8.166840337
6,0,1.7,-5.273924351,1.7,7.016505407
7,0,1.8,4.823980808,1.8,5.732496585
8,0,1.9,3.192091465,1.9,4.224015813
,,2,2.030813694,2,2.60811435
,,2.1,1.892132759,2.1,1.217495568
,,2.2,1.212958813,2.2,0.240555943
,,2.3,0.630601883,2.3,-0.352280583
,,2.4,0.343701363,2.4,-0.666001278
,,2.5,0.230595112,2.5,-0.798526713
,,2.6,0.219124317,2.6,-0.820436145
,,2.7,0.263789654,2.7,-0.776531038
,,2.8,0.33395052,2.8,-0.696039071
,,2.9,0.415406227,2.9,-0.598400776
,,3,0.499022961,3,-0.496507801
,,3.1,0.574172497,3.1,-0.399299586
,,3.2,0.634096622,3.2,-0.312585108
,,3.3,0.675548077,3.3,-0.239029188
,,3.4,0.694088459,3.4,-0.17891147
,,3.5,0.687866688,3.5,-0.131212194
,,3.6,0.662548542,3.6,-0.094273465
,,3.7,0.627081871,3.7,-0.066170983
,,3.8,0.586986065,3.8,-0.045042395
,,3.9,0.543947697,3.9,-0.029326486
,,4,0.498996258,4,-0.01784546
,,4.1,0.453939438,4.1,-0.009769985
,,4.2,0.410641193,4.2,-0.004519441
,,4.3,0.370028973,4.3,-0.001627496
,,4.4,0.331897736,4.4,-0.000618269
,,4.5,0.295336246,4.5,-0.000949516
,,4.6,0.259224892,4.6,-0.00204341
,,4.7,0.223011494,4.7,-0.003368458
,,4.8,0.187544346,4.8,-0.004513044
,,4.9,0.154633045,4.9,-0.005217024
,,5,0.12540102,5,-0.00536753
,,5.1,0.099481106,5.1,-0.004980434
,,5.2,0.075850964,5.2,-0.004176511
,,5.3,0.054149151,5.3,-0.003146144
,,5.4,0.035139561,5.4,-0.002098771
,,5.5,0.020046711,5.5,-0.001208102
,,5.6,0.009579182,5.6,-0.000572502
,,5.7,0.003495216,5.7,-0.000203686
,,5.8,0.000784874,5.8,-4.40E-05
,,5.9,5.25E-05,5.9,-2.76E-06
,,6,0,6,0
,,7,0,7,0
,,8,0,8,0
