distance_Angstrom,PBE,distance_Angstrom,TS,distance_Angstrom,FT
0.8,14.26334779,0.1,4.458557129,0.1,-197442.9093
0.9,2.40098884,0.2,3.19329834,0.2,-78576.3286
1,-3.72718647,0.3,1.517333984,0.3,-10464.2648
1.1,-6.1869397,0.4,0.01953125,0.4,257.2543173
1.2,-6.91981779,0.5,-1.020874023,0.5,524.9718782
1.3,-6.76332934,0.6,-0.586364746,0.6,130.4588809
1.4,-6.18146775,0.7,0.464172363,0.7,45.65391119
1.5,-5.41360948,0.8,0.196472168,0.8,14.29287685
1.6,-4.586102,0.9,-0.714538574,0.9,0.576910077
1.9,-2.29405451,1,-1.756530762,1,-5.046359434
2,-1.65793755,1.1,-2.846313476,1.1,-7.172996214
2.1,-1.36526377,1.2,-3.504272461,1.2,-7.699089443
2.3,-1.15169179,1.3,-3.522460938,1.3,-7.390556605
2.8,-0.61484675,1.4,-2.920410156,1.4,-6.657362095
3.3,-0.27345703,1.5,-1.840148926,1.5,-5.641253905
4,-0.03607417,1.6,-0.70892334,1.6,-4.508434041
5,0,1.7,0.114624024,1.7,-3.454203186
6,0,1.8,0.601806641,1.8,-2.598483582
7,0,1.9,0.836425781,1.9,-2.035932336
8,0,2,0.914428711,2,-1.809241329
,,2.1,0.880004883,2.1,-1.717992129
,,2.2,0.74786377,2.2,-1.572005251
,,2.3,0.548400879,2.3,-1.360210586
,,2.4,0.324645996,2.4,-1.114356046
,,2.5,0.131896973,2.5,-0.868906922
,,2.6,0.007141113,2.6,-0.653321942
,,2.7,-0.059509277,2.7,-0.480811654
,,2.8,-0.096862793,2.8,-0.351624655
,,2.9,-0.119262695,2.9,-0.258250254
,,3,-0.128479004,3,-0.191160656
,,3.1,-0.126098633,3.1,-0.142017262
,,3.2,-0.115112305,3.2,-0.103558363
,,3.3,-0.096679688,3.3,-0.070071897
,,3.4,-0.072265625,3.4,-0.038672385
,,3.5,-0.046508789,3.5,-0.009093403
,,3.6,-0.025207519,3.6,0.017701104
,,3.7,-0.01184082,3.7,0.040502067
,,3.8,-0.006469726,3.8,0.058196052
,,3.9,-0.007141113,3.9,0.070051792
,,4,-0.01159668,4,0.076019439
,,4.1,-0.017333984,4.1,0.076751829
,,4.2,-0.021850586,4.2,0.073340476
,,4.3,-0.023376465,4.3,0.067004187
,,4.4,-0.021972656,4.4,0.058891035
,,4.5,-0.018981934,4.5,0.049997291
,,4.6,-0.016052246,4.6,0.041144987
,,4.7,-0.013977051,4.7,0.032962929
,,4.8,-0.012817383,4.8,0.025845153
,,4.9,-0.011962891,4.9,0.019916224
,,5,-0.010803223,5,0.015068366
,,5.1,-0.009155273,5.1,0.011088028
,,5.2,-0.007141113,5.2,0.007798719
,,5.3,-0.005065918,5.3,0.005126345
,,5.4,-0.003234863,5.4,0.003067176
,,5.5,-0.001831055,5.5,0.001615022
,,5.6,-0.000854492,5.6,0.000711042
,,5.7,-0.000305176,5.7,0.000238409
,,5.8,-6.10E-05,5.8,4.93E-05
,,5.9,0,5.9,3.21E-06
,,6,0,6,0
,,7,0,7,0
,,8,0,8,0
