distance_Angstrom,PBE,distance_Angstrom,M3GNet,distance_Angstrom,MACE,distance_Angstrom,SevenNet,distance_Angstrom,ORBv2,distance_Angstrom,eqV2
0.31,8.394793,0.279,7.265516,0.279,7.379362,0.279,8.021389,0.279,6.339263,0.279,2.946743
0.5105882,-2.714915,0.2890321,4.319243,0.2890321,6.721584,0.2890321,6.425873,0.2890321,6.314115,0.2890321,3.848777
0.7111765,-4.518907,0.2990641,3.244862,0.2990641,6.057631,0.2990641,5.447569,0.2990641,6.198575,0.2990641,4.817556
0.9117647,-4.215524,0.3492245,0.2526336,0.3492245,3.235032,0.3492245,2.433711,0.3492245,4.629322,0.3492245,4.369243
1.112353,-3.371781,0.3993848,-0.9365087,0.3993848,0.9438124,0.3993848,0.1609163,0.3993848,1.786711,0.3993848,0.5218978
1.312941,-2.441094,0.4495452,-2.22434,0.4495452,-0.8158979,0.4495452,-1.42758,0.4495452,-0.571497,0.4495452,-1.148541
1.513529,-1.542764,0.4997055,-3.107862,0.4997055,-2.1328,0.4997055,-2.542676,0.4997055,-2.149693,0.4997055,-2.681854
1.714118,-0.8593189,0.5498659,-3.574533,0.5498659,-3.042428,0.5498659,-3.428431,0.5498659,-3.214871,0.5498659,-3.627945
1.914706,-0.3422753,0.6000262,-3.830999,0.6000262,-3.610542,0.6000262,-3.999805,0.6000262,-3.86873,0.6000262,-4.113054
2.315882,-0.1302009,0.6501866,-3.997519,0.6501866,-3.949986,0.6501866,-4.39144,0.6501866,-4.244931,0.6501866,-4.407835
2.516471,-0.05434679,0.7003469,-4.092451,0.7003469,-4.126474,0.7003469,-4.613969,0.7003469,-4.428722,0.7003469,-4.531096
2.917647,-0.02386,0.7505073,-4.128374,0.7505073,-4.175922,0.7505073,-4.68071,0.7505073,-4.4952,0.7505073,-4.578965
3.318824,-0.01151736,0.8006676,-4.11855,0.8006676,-4.130768,0.8006676,-4.634331,0.8006676,-4.447175,0.8006676,-4.514204
3.519412,-0.00907443,0.850828,-4.072845,0.850828,-4.024308,0.850828,-4.506769,0.850828,-4.329022,0.850828,-4.348133
3.72,0,0.9009883,-3.995081,0.9009883,-3.870742,0.9009883,-4.323037,0.9009883,-4.168604,0.9009883,-4.161194
4,0,0.9511487,-3.882272,0.9511487,-3.6786,0.9511487,-4.113822,0.9511487,-3.964471,0.9511487,-4.021186
5,0,1.0013086,-3.748198,1.0013086,-3.466201,1.0013086,-3.895104,1.0013086,-3.72725,1.0013086,-3.88039
6,0,1.0514689,-3.607629,1.0514689,-3.244688,1.0514689,-3.667726,1.0514689,-3.462065,1.0514689,-3.663536
,,1.10163,-3.452047,1.10163,-3.005322,1.10163,-3.430133,1.10163,-3.193614,1.10163,-3.407914
,,1.15179,-3.273251,1.15179,-2.753195,1.15179,-3.185488,1.15179,-2.919093,1.15179,-3.135782
,,1.20195,-3.058063,1.20195,-2.501766,1.20195,-2.935366,1.20195,-2.633161,1.20195,-2.860733
,,1.252111,-2.788478,1.252111,-2.250459,1.252111,-2.683383,1.252111,-2.342913,1.252111,-2.617258
,,1.302271,-2.498722,1.302271,-2.006278,1.302271,-2.423162,1.302271,-2.050769,1.302271,-2.393967
,,1.402592,-2.043539,1.402592,-1.554821,1.402592,-1.907922,1.402592,-1.466041,1.402592,-1.912293
,,1.502913,-1.624818,1.502913,-1.173652,1.502913,-1.441743,1.502913,-0.8643332,1.502913,-1.393161
,,1.603233,-1.209628,1.603233,-0.8417239,1.603233,-1.017187,1.603233,0.1207819,1.603233,-0.8924725
,,1.703554,-0.819397,1.703554,-0.5777926,1.703554,-0.6410117,1.703554,0.4184952,1.703554,0.08117771
,,1.803875,-0.3404649,1.803875,-0.4047532,1.803875,-0.3536348,1.803875,0.4236288,1.803875,0.2432785
,,1.904195,0.01196575,1.904195,-0.263731,1.904195,-0.1677065,1.904195,0.3573914,1.904195,0.3179269
,,2.004516,0.2174845,2.004516,-0.1569138,2.004516,-0.06460381,2.004516,0.2478113,2.004516,0.3040748
