Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
1.9,3.86443742,1.3,60.13761,1.3,31.50819,1.3,74.57662,1.3,9.86617,1.3,9.13652
2,1.20657739,1.4,40.52083,1.4,21.23062,1.4,59.12255,1.4,10.57922,1.4,11.34923
2.1,-0.51644239,1.5,25.46024,1.5,13.52251,1.5,26.22842,1.5,11.87061,1.5,12.55704
2.2,-1.54367103,1.6,15.21615,1.6,8.509365,1.6,15.96799,1.6,10.70188,1.6,12.78445
2.3,-2.11415764,1.7,8.643752,1.7,5.641725,1.7,12.4604,1.7,8.453686,1.7,10.41033
2.4,-2.38708103,1.8,4.118687,1.8,3.866278,1.8,8.45594,1.8,6.054461,1.8,6.730367
2.5,-2.4690381,1.9,1.096924,1.9,2.523703,1.9,4.857684,1.9,3.644605,1.9,4.848288
2.6,-2.4313317,2,-0.5042844,2,1.531258,2,2.284242,2,1.587552,2,3.139716
2.7,-2.32120679,2.1,-0.8997514,2.1,0.8318477,2.1,0.4124987,2.1,0.02765751,2.1,2.245075
2.8,-2.16994922,2.2,-1.334392,2.2,0.3557634,2.2,-0.5905955,2.2,-1.068634,2.2,2.210897
2.9,-1.99809363,2.3,-1.847895,2.3,0.03282166,2.3,-1.102107,2.3,-1.821463,2.3,1.834743
3,-1.8189704,2.4,-2.06349,2.4,-0.176435,2.4,-1.312632,2.4,-2.265812,2.4,-0.8855131
3.5,-1.01699024,2.5,-1.993193,2.5,-0.2935271,2.5,-1.390342,2.5,-2.398189,2.5,-1.07579
4,-0.48919893,2.6,-1.980024,2.6,-0.343811,2.6,-1.394605,2.6,-2.228286,2.6,-0.9053233
4.5,-0.19916995,2.7,-2.009734,2.7,-0.3480978,2.7,-1.340714,2.7,-2.069155,2.7,-0.7079792
5,-0.07143118,2.8,-1.896941,2.8,-0.3234994,2.8,-1.245165,2.8,-1.907458,2.8,-0.3439565
5.5,-0.02474213,2.9,-1.668658,2.9,-0.2820122,2.9,-1.127995,2.9,-1.76073,2.9,-0.06253099
6,-0.00894674,3,-1.437914,3,-0.2342372,3,-1.001354,3,-1.617251,3,-0.02557468
,,3.1,-1.2575,3.1,-0.1870625,3.1,-0.8784852,3.1,-1.468983,3.1,0.1988378
,,3.2,-1.106171,3.2,-0.1431789,3.2,-0.7631376,3.2,-1.307505,3.2,0.01281691
,,3.3,-0.9607368,3.3,-0.1045923,3.3,-0.6544111,3.3,-1.159512,3.3,0.4108167
,,3.4,-0.7751155,3.4,-0.07127762,3.4,-0.5525026,3.4,-1.032487,3.4,0.2160697
,,3.5,-0.5842257,3.5,-0.04217434,3.5,-0.4620409,3.5,-0.9154816,3.5,0.2738767
,,3.6,-0.4247565,3.6,-0.01840878,3.6,-0.381402,3.6,-0.8032494,3.6,0.3790278
,,3.7,-0.3042479,3.7,0.000923634,3.7,-0.3127532,3.7,-0.6983557,3.7,0.5971341
,,3.8,-0.2163057,3.8,0.01536083,3.8,-0.2551913,3.8,-0.6077213,3.8,0.7966533
,,3.9,-0.1513271,3.9,0.02551842,3.9,-0.2083154,3.9,-0.5349579,3.9,0.8656874
,,4,-0.1018066,4,0.03104067,4,-0.1665258,4,-0.4789791,4,0.9100366
,,4.1,-0.06311178,4.1,0.03395224,4.1,-0.132813,4.1,-0.4356413,4.1,1.173384
,,4.2,-0.03129625,4.2,0.03450823,4.2,-0.1034114,4.2,-0.4030895,4.2,1.169738
,,4.3,-0.003431797,4.3,0.03298688,4.3,-0.0764854,4.3,-0.373126,4.3,0.885479
,,4.4,0.02122641,4.4,0.02981114,4.4,-0.05777717,4.4,-0.3297377,4.4,0.8757477
,,4.5,0.03732967,4.5,0.02619362,4.5,-0.04322338,4.5,-0.269928,4.5,1.038329
,,4.6,0.03020716,4.6,0.02224779,4.6,-0.02741814,4.6,-0.2319899,4.6,0.8980489
,,4.7,0.002340317,4.7,0.0184269,4.7,-0.01766872,4.7,-0.2229557,4.7,1.086305
,,4.8,-0.01687336,4.8,0.01459694,4.8,-0.009061813,4.8,-0.2060575,4.8,0.8781862
,,4.9,-0.01541567,4.9,0.01148963,4.9,-0.004118442,4.9,-0.1757593,4.9,0.7667928
,,5,0,5,0.009194851,5,0,5,-0.1422558,5,0.8364334
,,5.1,0,5.1,0.007133245,5.1,0,5.1,-0.1095009,5.1,0.6653714
,,5.2,0,5.2,0.005240917,5.2,0,5.2,-0.08453178,5.2,0.6939287
,,5.3,0,5.3,0.003688097,5.3,0,5.3,-0.06770706,5.3,0.5102658
,,5.4,0,5.4,0.00252676,5.4,0,5.4,-0.06042862,5.4,0.5738859
,,5.5,0,5.5,0.001375198,5.5,0,5.5,-0.06646633,5.5,0.4659758
,,5.6,0,5.6,0.000649691,5.6,0,5.6,-0.1067295,5.6,0.5605683
,,5.7,0,5.7,0.000391483,5.7,0,5.7,-0.07089043,5.7,0.3370252
,,5.8,0,5.8,0.00034332,5.8,0,5.8,-0.02273655,5.8,0.2334533
,,5.9,0,5.9,0.000001907,5.9,0,5.9,-0.003108025,5.9,0.3356671
,,6,0,6,0,6,0,6,0,6,0.3437123
