Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
2,3.65065633,2.3,2.420329,2.3,2.63034,2.3,1.947522,2.3,2.339462,2.3,2.226193
2.5,1.30844929,2.4,2.01179,2.4,1.968503,2.4,1.617236,2.4,1.946611,2.4,1.945957
3,0.42354662,2.5,1.537773,2.5,1.438266,2.5,1.312989,2.5,1.588369,2.5,1.760052
3.5,-0.08892145,2.6,1.036365,2.6,1.021209,2.6,1.026812,2.6,1.263982,2.6,1.563907
3.9,-0.25314875,2.7,0.738142,2.7,0.6935682,2.7,0.7640934,2.7,0.986668,2.7,1.403569
4.5,-0.23404505,2.8,1.013138,2.8,0.4291868,2.8,0.5387039,2.8,0.7653303,2.8,1.155141
5,-0.15925082,2.9,0.8570051,2.9,0.222971,2.9,0.3568058,2.9,0.5902643,2.9,0.8473957
5.5,-0.09459713,3,0.5450306,3,0.05957985,3,0.1969566,3,0.4467201,3,0.5917919
6,-0.05160346,3.1,0.2003899,3.1,-0.06884575,3.1,0.0646286,3.1,0.3347301,3.1,0.4632566
6.5,-0.02695387,3.2,-0.1177168,3.2,-0.1677818,3.2,-0.03707981,3.2,0.2385006,3.2,0.3947666
7,-0.01410154,3.3,-0.3872156,3.3,-0.2438745,3.3,-0.1143618,3.3,0.1460018,3.3,0.2797287
7.5,-0.00761273,3.4,-0.6052446,3.4,-0.3023186,3.4,-0.1708469,3.4,0.06366253,3.4,0.1881578
8,-0.00424238,3.5,-0.7741156,3.5,-0.3471394,3.5,-0.2102184,3.5,0.005291939,3.5,-0.1022396
,,3.6,-0.8969765,3.6,-0.3798609,3.6,-0.2332993,3.6,-0.03227043,3.6,-0.2326503
,,3.7,-0.977607,3.7,-0.4014397,3.7,-0.2558632,3.7,-0.0571909,3.7,-0.1874766
,,3.8,-1.016065,3.8,-0.4120502,3.8,-0.2750015,3.8,-0.06582642,3.8,-0.118937
,,3.9,-1.009725,3.9,-0.4120054,3.9,-0.2867365,3.9,-0.05568027,3.9,-0.1407504
,,4,-0.9641666,4,-0.4031248,4,-0.2966871,4,-0.04134941,4,-0.07751322
,,4.1,-0.8908253,4.1,-0.388175,4.1,-0.3069706,4.1,-0.02206802,4.1,-0.03996897
,,4.2,-0.799715,4.2,-0.3668756,4.2,-0.3007145,4.2,0.001362801,4.2,-0.053092
,,4.3,-0.6971989,4.3,-0.3424969,4.3,-0.2866402,4.3,0.0248518,4.3,-0.5326605
,,4.4,-0.5865393,4.4,-0.313036,4.4,-0.2557678,4.4,0.04626751,4.4,-0.4204531
,,4.5,-0.4697905,4.5,-0.2826872,4.5,-0.229763,4.5,0.06260872,4.5,-0.3840084
,,4.6,-0.3500032,4.6,-0.2509775,4.6,-0.1938925,4.6,0.07410431,4.6,-0.2951818
,,4.7,-0.2345963,4.7,-0.220027,4.7,-0.1481047,4.7,0.07835388,4.7,-0.2079029
,,4.8,-0.1357164,4.8,-0.1891546,4.8,-0.0854435,4.8,0.07211304,4.8,-0.1733804
,,4.9,-0.05913925,4.9,-0.15942,4.9,-0.02625084,4.9,0.06014252,4.9,-0.2702308
,,5,0,5,-0.1301994,5,0,5,0.04137993,5,-0.2871032
,,5.1,0,5.1,-0.1036119,5.1,0,5.1,0.01803398,5.1,-0.1862531
,,5.2,0,5.2,-0.07817268,5.2,0,5.2,-0.004691124,5.2,-0.1175513
,,5.3,0,5.3,-0.05476952,5.3,0,5.3,-0.04073048,5.3,-0.01136827
,,5.4,0,5.4,-0.03569698,5.4,0,5.4,-0.07487392,5.4,-0.04705238
,,5.5,0,5.5,-0.01886463,5.5,0,5.5,-0.1160469,5.5,-0.05480385
,,5.6,0,5.6,-0.008458137,5.6,0,5.6,-0.1425047,5.6,0.05555582
,,5.7,0,5.7,-0.00334835,5.7,0,5.7,-0.1189566,5.7,0.1965196
,,5.8,0,5.8,-0.000878334,5.8,0,5.8,-0.04009628,5.8,0.09312725
,,5.9,0,5.9,-2.76565E-05,5.9,0,5.9,-0.004505158,5.9,0.07774734
,,6,0,6,0,6,0,6,0,6,0.1610525
,,6.1,0,6.1,0,6.1,0,6.1,0,6.1,0.2039382
,,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0.0107336
,,6.3,0,6.3,0,6.3,0,6.3,0,6.3,0.08994246
,,6.4,0,6.4,0,6.4,0,6.4,0,6.4,0.209852
,,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0.2528083
,,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0.05274248
,,6.7,0,6.7,0,6.7,0,6.7,0,6.7,0.03395987
,,6.8,0,6.8,0,6.8,0,6.8,0,6.8,0.09250307
,,6.9,0,6.9,0,6.9,0,6.9,0,6.9,0.1117177
,,7,0,7,0,7,0,7,0,7,0.2906082
