Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
2,3.73512071,1.9,7.722547,1.9,9.358346,1.9,7.061716,1.9,5.298065,1.9,6.050763
2.5,0.74083419,2,5.831989,2,7.427973,2,5.221384,2,4.084747,2,4.916729
3,-0.14129,2.1,4.23341,2.1,5.928741,2.1,3.892334,2.1,3.153108,2.1,4.00205
3.5,-0.4968515,2.2,2.90231,2.2,4.650354,2.2,2.966774,2.2,2.448339,2.2,3.372443
4,-0.58022079,2.3,1.920619,2.3,3.566561,2.3,2.386669,2.3,1.890215,2.3,2.838815
4.5,-0.52138747,2.4,1.336875,2.4,2.704017,2.4,2.028169,2.4,1.452815,2.4,2.361324
5,-0.40540304,2.5,1.002524,2.5,2.056671,2.5,1.766156,2.5,1.094683,2.5,1.774076
5.5,-0.28022028,2.6,0.8399756,2.6,1.590907,2.6,1.553395,2.6,0.8052416,2.6,1.285783
5.9,-0.18983561,2.7,0.912858,2.7,1.249405,2.7,1.370332,2.7,0.5707941,2.7,1.02312
6.5,-0.02191191,2.8,0.8887856,2.8,0.9879,2.8,1.200505,2.8,0.3831377,2.8,0.8028461
7,-0.01340859,2.9,0.8226235,2.9,0.7873962,2.9,1.041477,2.9,0.2273226,2.9,0.7081963
7.5,-0.00802792,3,0.721828,3,0.6294124,3,0.906743,3,0.1039724,3,0.6128403
8,-0.00496238,3.1,0.5998833,3.1,0.5020154,3.1,0.7895601,3.1,0.0166111,3.1,0.4952189
,,3.2,0.4657161,3.2,0.3985622,3.2,0.6948128,3.2,-0.04261589,3.2,0.3612262
,,3.3,0.3274481,3.3,0.3112023,3.3,0.6196177,3.3,-0.08462715,3.3,0.2240667
,,3.4,0.1974392,3.4,0.2366157,3.4,0.5610228,3.4,-0.1151257,3.4,0.01686788
,,3.5,0.09287834,3.5,0.1706319,3.5,0.5034828,3.5,-0.140954,3.5,-0.06008959
,,3.6,0.02071381,3.6,0.1120338,3.6,0.4518542,3.6,-0.1679115,3.6,-0.1586831
,,3.7,-0.02694893,3.7,0.0622735,3.7,0.3964067,3.7,-0.1948996,3.7,-0.22314
,,3.8,-0.05819559,3.8,0.02200699,3.8,0.3424225,3.8,-0.2150106,3.8,-0.2587361
,,3.9,-0.07698584,3.9,-0.01052952,3.9,0.2845569,3.9,-0.2269325,3.9,-0.337235
,,4,-0.08633113,4,-0.03706479,4,0.2278984,4,-0.2285042,4,-0.3440773
,,4.1,-0.0896275,4.1,-0.05708432,4.1,0.1745069,4.1,-0.2175169,4.1,-0.3684328
,,4.2,-0.08984637,4.2,-0.0719552,4.2,0.1278713,4.2,-0.1897964,4.2,-0.3757818
,,4.3,-0.08884549,4.3,-0.0813148,4.3,0.08569694,4.3,-0.1415482,4.3,-0.3615811
,,4.4,-0.08696628,4.4,-0.08770537,4.4,0.05332494,4.4,-0.07576084,4.4,-0.3433671
,,4.5,-0.0831821,4.5,-0.08998585,4.5,0.03000855,4.5,-0.01113892,4.5,-0.3574991
,,4.6,-0.0759058,4.6,-0.08892894,4.6,0.01137495,4.6,0.0289402,4.6,-0.3264027
,,4.7,-0.06378698,4.7,-0.08607268,4.7,0.000941038,4.7,0.03091049,4.7,-0.2695816
,,4.8,-0.04629207,4.8,-0.07993555,4.8,-0.003107309,4.8,0.01322556,4.8,-0.2311847
,,4.9,-0.0240562,4.9,-0.07183552,4.9,-0.000304937,4.9,-0.00976181,4.9,-0.1917255
,,5,0,5,-0.06208563,5,0,5,-0.03086567,5,-0.4868021
,,5.1,0,5.1,-0.05124092,5.1,0,5.1,-0.04615784,5.1,-0.4648104
,,5.2,0,5.2,-0.04003501,5.2,0,5.2,-0.08148384,5.2,-0.4336431
,,5.3,0,5.3,-0.0286901,5.3,0,5.3,-0.1173115,5.3,-0.3990228
,,5.4,0,5.4,-0.01855755,5.4,0,5.4,-0.1644936,5.4,-0.3125193
,,5.5,0,5.5,-0.01042056,5.5,0,5.5,-0.1707897,5.5,-0.3979905
,,5.6,0,5.6,-0.005141974,5.6,0,5.6,-0.1419153,5.6,-0.3144684
,,5.7,0,5.7,-0.001647711,5.7,0,5.7,-0.1082745,5.7,-0.3876173
,,5.8,0,5.8,-0.000529528,5.8,0,5.8,-0.03949356,5.8,-0.3154302
,,5.9,0,5.9,-3.3379E-06,5.9,0,5.9,-0.004575729,5.9,-0.2764938
,,6,0,6,0,6,0,6,0,6,-0.1176698
