Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
0.8,14.74125337,0.8,16.44327,0.8,18.96866,0.8,18.39649,0.8,7.694027,0.8,5.21082
0.9,2.8788977,0.9,1.947991,0.9,5.370111,0.9,4.653516,0.9,4.160389,0.9,3.090168
1,-3.24927699,1,-4.022636,1,-1.666558,1,-1.666558,1,-2.28305,1,-1.814975
1.1,-5.70903022,1.1,-6.903128,1.1,-4.54916,1.1,-4.906871,1.1,-5.044106,1.1,-4.840923
1.2,-6.44190831,1.2,-7.44194,1.2,-5.492958,1.2,-5.855985,1.2,-5.986559,1.2,-5.710421
1.3,-6.28541986,1.3,-7.481886,1.3,-5.463216,1.3,-5.809002,1.3,-5.873201,1.3,-5.518158
1.4,-5.70355827,1.4,-7.395555,1.4,-5.003319,1.4,-5.301627,1.4,-5.228747,1.4,-5.033425
1.5,-4.9357,1.5,-7.263847,1.5,-4.284534,1.5,-4.562415,1.5,-4.385319,1.5,-4.364082
1.6,-4.10819252,1.6,-7.142937,1.6,-3.47276,1.6,-3.771798,1.6,-3.540286,1.6,-3.59634
1.9,-1.8161461,1.7,-6.998941,1.7,-2.57307,1.7,-3.037525,1.7,-2.884223,1.7,-2.774474
2.3,-0.786623199,1.8,-6.848516,1.8,-1.714404,1.8,-2.308804,1.8,-2.288862,1.8,-1.755567
3,-0.21317777,1.9,-6.406022,1.9,-0.995315,1.9,-1.531348,1.9,-1.707121,1.9,-1.217362
3.5,-0.077783301,2,-4.891077,2,-0.6597786,2,-0.980042,2,-1.282427,2,-0.6420708
3.8,-0.035154553,2.1,-4.255282,2.1,-0.5590019,2.1,-0.7027187,2.1,-0.9005871,2.1,-0.4734592
4.3,-0.009254043,2.2,-3.685349,2.2,-0.490346,2.2,-0.5330343,2.2,-0.811944,2.2,-0.257679
4.5,-0.005480417,2.3,-3.377182,2.3,-0.4215546,2.3,-0.4061594,2.3,-0.729558,2.3,-0.1476564
6,0,2.4,-3.10978,2.4,-0.3536005,2.4,-0.3119793,2.4,-0.6331472,2.4,-0.1345901
,,2.5,-2.835519,2.5,-0.2895966,2.5,-0.2353086,2.5,-0.5370989,2.5,-0.2367868
,,2.6,-2.545609,2.6,-0.2326355,2.6,-0.1810503,2.6,-0.4469471,2.6,-0.1655779
,,2.7,-2.268476,2.7,-0.1869183,2.7,-0.139184,2.7,-0.3490229,2.7,-0.09145355
,,2.8,-2.112008,2.8,-0.1565485,2.8,-0.0998077,2.8,-0.2549982,2.8,-0.1094065
,,2.9,-2.135533,2.9,-0.1295204,2.9,-0.07413197,2.9,-0.1802759,2.9,-0.05420017
,,3,-2.052331,3,-0.106329,3,-0.05199242,3,-0.1308517,3,-0.02619076
,,3.1,-1.883619,3.1,-0.0879097,3.1,-0.04342651,3.1,-0.09747887,3.1,-0.09461594
,,3.2,-1.737952,3.2,-0.07179356,3.2,-0.03444958,3.2,-0.07143688,3.2,-0.135787
,,3.3,-1.510831,3.3,-0.05891705,3.3,-0.02909184,3.3,-0.05039692,3.3,-0.01434708
,,3.4,-1.24297,3.4,-0.04795456,3.4,-0.02790737,3.4,-0.03336239,3.4,0.07069683
,,3.5,-1.043051,3.5,-0.03806305,3.5,-0.02130508,3.5,-0.01813698,3.5,0.09699917
,,3.6,-0.9408293,3.6,-0.02892113,3.6,-0.01272011,3.6,-0.005646706,3.6,0.1129446
,,3.7,-0.8968477,3.7,-0.0195694,3.7,-0.004870415,3.7,0.002795219,3.7,0.162324
,,3.8,-0.8516502,3.8,-0.01219273,3.8,-0.001630783,3.8,0.008296967,3.8,0.2026949
,,3.9,-0.7701826,3.9,-0.006236076,3.9,-2.09808E-05,3.9,0.01083374,3.9,0.1737576
,,4,-0.648757,4,-0.002659798,4,0.006651878,4,0.01100826,4,0.07813168
,,4.1,-0.5003366,4.1,-0.000635147,4.1,0.006649971,4.1,0.00936985,4.1,-0.0103159
,,4.2,-0.3420143,4.2,-0.000846863,4.2,0.007616997,4.2,0.007112503,4.2,0.0241003
,,4.3,-0.1932888,4.3,-0.00065136,4.3,0.004720688,4.3,0.004955292,4.3,-0.05384731
,,4.4,-0.09539509,4.4,-0.000486374,4.4,0.003099442,4.4,0.002698898,4.4,-0.0544138
,,4.5,-0.03326035,4.5,-0.000297546,4.5,-0.000989914,4.5,0.001070976,4.5,0.004803658
,,4.6,-0.002901077,4.6,0.000183106,4.6,-0.002742767,4.6,-0.000839233,4.6,0.007440567
,,6,0,6,0,6,0,6,0,6,0
