Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
1.5,5.55298778,1.4,19.55942,1.4,5.595142,1.4,8.082392,1.4,9.023388,1.4,4.790877
1.6,-0.72256378,1.5,8.617003,1.5,1.371699,1.5,6.682613,1.5,8.063467,1.5,5.493207
1.7,-4.14372056,1.6,2.252076,1.6,-0.2518625,1.6,2.970508,1.6,3.993656,1.6,4.872869
1.8,-5.86015406,1.7,-0.5480337,1.7,-0.983634,1.7,-1.779182,1.7,0.3481197,1.7,1.621258
1.9,-6.57437333,1.8,-2.252385,1.8,-1.50678,1.8,-4.183178,1.8,-2.095654,1.8,-0.5675812
2,-6.71782547,1.9,-3.86856,1.9,-2.042932,1.9,-4.607257,1.9,-3.545774,1.9,-1.031315
2.1,-6.53780271,2,-4.96086,2,-2.46981,2,-4.69124,2,-4.18468,2,-1.250049
2.2,-6.17744508,2.1,-4.173556,2.1,-2.743302,2.1,-4.701705,2.1,-4.27534,2.1,-1.908438
2.3,-5.7227554,2.2,-3.158403,2.2,-2.818131,2.2,-4.308992,2.2,-4.120326,2.2,-2.002313
2.4,-5.22734356,2.3,-2.772358,2.3,-2.734588,2.3,-3.609894,2.3,-3.864478,2.3,-1.922725
2.5,-4.72946791,2.4,-2.966313,2.4,-2.554221,2.4,-2.877697,2.4,-3.518626,2.4,-1.781451
3,-2.69984518,2.5,-3.04648,2.5,-2.303326,2.5,-2.314871,2.5,-3.147195,2.5,-1.281318
3.5,-1.48489678,2.6,-2.967969,2.6,-2.004637,2.6,-1.967992,2.6,-2.794175,2.6,-0.51758
4,-0.79172875,2.7,-2.783628,2.7,-1.709004,2.7,-1.783591,2.7,-2.486819,2.7,0.3491201
4.5,-0.4106302,2.8,-2.480509,2.8,-1.456893,2.8,-1.69103,2.8,-2.229019,2.8,1.11949
5,-0.20466165,2.9,-2.112074,2.9,-1.251169,2.9,-1.61636,2.9,-1.99455,2.9,1.392996
5.5,-0.0954511,3,-1.712285,3,-1.086366,3,-1.51672,3,-1.76748,3,0.8935871
6,-0.04147236,3.1,-1.350675,3.1,-0.9478779,3.1,-1.397311,3.1,-1.543258,3.1,-1.578233
,,3.2,-1.139569,3.2,-0.824729,3.2,-1.266104,3.2,-1.33701,3.2,-4.40539
,,3.3,-1.021705,3.3,-0.7112446,3.3,-1.130568,3.3,-1.155087,3.3,0.05106258
,,3.4,-0.952323,3.4,-0.6052933,3.4,-0.999703,3.4,-0.995753,3.4,-0.6546507
,,3.5,-0.8645563,3.5,-0.5054884,3.5,-0.8736782,3.5,-0.8605061,3.5,-0.3148165
,,3.6,-0.7147207,3.6,-0.4140825,3.6,-0.7592287,3.6,-0.7419157,3.6,0.1597052
,,3.7,-0.5328207,3.7,-0.3324699,3.7,-0.6474771,3.7,-0.641943,3.7,0.6359024
,,3.8,-0.3843336,3.8,-0.2620039,3.8,-0.5470219,3.8,-0.5564365,3.8,0.5496407
,,3.9,-0.2701368,3.9,-0.2039576,3.9,-0.4569368,3.9,-0.4873314,3.9,0.6849499
,,4,-0.2129774,4,-0.1583996,4,-0.3728598,4,-0.4239349,4,0.6468105
,,4.1,-0.2012997,4.1,-0.1246729,4.1,-0.3041258,4.1,-0.3543043,4.1,0.5869322
,,4.2,-0.1884823,4.2,-0.0992231,4.2,-0.2393894,4.2,-0.2891026,4.2,0.4810638
,,4.3,-0.1700935,4.3,-0.08220005,4.3,-0.1865864,4.3,-0.2380838,4.3,0.5036516
,,4.4,-0.1460838,4.4,-0.06951904,4.4,-0.1394386,4.4,-0.2023716,4.4,0.6600094
,,4.5,-0.1189194,4.5,-0.05852985,4.5,-0.102787,4.5,-0.1792088,4.5,0.582963
,,4.6,-0.09028625,4.6,-0.0499506,4.6,-0.07341957,4.6,-0.1559858,4.6,0.619916
,,4.7,-0.05976677,4.7,-0.0443573,4.7,-0.04838276,4.7,-0.1236534,4.7,0.3832102
,,4.8,-0.03287888,4.8,-0.03786182,4.8,-0.02843571,4.8,-0.06322765,4.8,0.2201796
,,4.9,-0.01532364,4.9,-0.03318977,4.9,-0.009581566,4.9,0.001196861,4.9,0.580965
,,5,0,5,-0.02883053,5,0,5,0.01486397,5,0.6749544
,,5.1,0,5.1,-0.02388954,5.1,0,5.1,0.03595829,5.1,0.2973957
,,5.2,0,5.2,-0.01823616,5.2,0,5.2,0.06924438,5.2,0.2701941
,,5.3,0,5.3,-0.01425838,5.3,0,5.3,0.1079206,5.3,0.2490845
,,5.4,0,5.4,-0.009742737,5.4,0,5.4,0.1536646,5.4,0.1602163
,,5.5,0,5.5,-0.005787849,5.5,0,5.5,0.152091,5.5,0.3474331
,,5.6,0,5.6,-0.002996445,5.6,0,5.6,0.08775234,5.6,0.02802277
,,5.7,0,5.7,-0.000834465,5.7,0,5.7,0.03526115,5.7,0.1187696
,,5.8,0,5.8,-0.000242233,5.8,0,5.8,0.00442791,5.8,0.1542797
,,5.9,0,5.9,0,5.9,0,5.9,-0.000246048,5.9,0.1304722
,,6,0,6,0,6,0,6,0,6,0.2821321
