Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
1.5,7.45077344,1.6,4.527795,1.6,8.291325,1.6,4.742799,1.6,4.38835,1.6,4.508638
1.8,0.31266351,1.7,2.014756,1.7,5.89296,1.7,2.886103,1.7,2.298294,1.7,2.306802
2.2,-1.27829082,1.8,1.08479,1.8,3.891632,1.8,2.104465,1.8,0.6824112,1.8,1.019159
2.4,-1.60848619,1.9,0.6185646,1.9,2.247019,1.9,1.376562,1.9,-0.3189869,1.9,0.003253937
2.5,-1.64899578,2,0.1202469,2,1.034521,2,0.6474714,2,-1.016703,2,-0.7615528
2.6,-1.64606811,2.1,-0.5178223,2.1,0.2460814,2.1,0.02704144,2.1,-1.45053,2.1,-1.330119
2.7,-1.59717908,2.2,-1.083667,2.2,-0.2299299,2.2,-0.4608822,2.2,-1.702286,2.2,-1.603241
2.8,-1.52757955,2.3,-1.389957,2.3,-0.519846,2.3,-0.827137,2.3,-1.859801,2.3,-1.712385
3,-1.34132405,2.4,-1.635667,2.4,-0.7021036,2.4,-1.089533,2.4,-1.957097,2.4,-1.724003
3.5,-0.98079414,2.5,-1.844186,2.5,-0.8236876,2.5,-1.276287,2.5,-1.994823,2.5,-1.680622
4,-0.59051283,2.6,-1.976193,2.6,-0.9183302,2.6,-1.400716,2.6,-1.984667,2.6,-1.56065
4.5,-0.32100794,2.7,-2.036342,2.7,-0.986874,2.7,-1.469044,2.7,-1.951235,2.7,-1.44695
5,-0.16785464,2.8,-1.999299,2.8,-1.027938,2.8,-1.481703,2.8,-1.906038,2.8,-1.291692
5.5,-0.08144942,2.9,-1.843394,2.9,-1.036522,2.9,-1.445153,2.9,-1.843132,2.9,-1.124552
6,-0.03785783,3,-1.515082,3,-1.024025,3,-1.376102,3,-1.769684,3,-1.053347
,,3.1,-1.367957,3.1,-0.992559,3.1,-1.288625,3.1,-1.692164,3.1,-1.144528
,,3.2,-1.306628,3.2,-0.9490891,3.2,-1.197439,3.2,-1.597185,3.2,-1.261382
,,3.3,-1.246783,3.3,-0.9023933,3.3,-1.11185,3.3,-1.486152,3.3,-1.23302
,,3.4,-1.160433,3.4,-0.8535128,3.4,-1.035422,3.4,-1.376402,3.4,-1.216437
,,3.5,-1.06564,3.5,-0.8047523,3.5,-0.983186,3.5,-1.267185,3.5,-1.268943
,,3.6,-0.989891,3.6,-0.7534246,3.6,-0.9291868,3.6,-1.150036,3.6,-1.140694
,,3.7,-0.9366131,3.7,-0.6994019,3.7,-0.8882942,3.7,-1.029093,3.7,-0.7508564
,,3.8,-0.8956165,3.8,-0.6413717,3.8,-0.8532438,3.8,-0.9115887,3.8,-0.3413811
,,3.9,-0.8582335,3.9,-0.5822992,3.9,-0.8108263,3.9,-0.8002491,3.9,-0.06680584
,,4,-0.8169641,4,-0.5208359,4,-0.7641993,4,-0.7058973,4,-0.981583
,,4.1,-0.7652159,4.1,-0.4607687,4.1,-0.712719,4.1,-0.6296949,4.1,-0.7707434
,,4.2,-0.700552,4.2,-0.4023132,4.2,-0.6444855,4.2,-0.5630827,4.2,-0.7469864
,,4.3,-0.6246624,4.3,-0.3468266,4.3,-0.5705585,4.3,-0.5011292,4.3,-0.6261282
,,4.4,-0.540041,4.4,-0.2954369,4.4,-0.4866161,4.4,-0.4431562,4.4,-0.4516172
,,4.5,-0.4482956,4.5,-0.249073,4.5,-0.4094496,4.5,-0.3914299,4.5,-0.455677
,,4.6,-0.3514891,4.6,-0.2067585,4.6,-0.3271255,4.6,-0.3389893,4.6,-0.5294123
,,4.7,-0.2533522,4.7,-0.1705399,4.7,-0.2334299,4.7,-0.2805948,4.7,-0.5006304
,,4.8,-0.1581793,4.8,-0.1396551,4.8,-0.1310472,4.8,-0.2276182,4.8,-0.4049425
,,4.9,-0.06968021,4.9,-0.113306,4.9,-0.03773975,4.9,-0.1907473,4.9,-0.5212517
,,5,0,5,-0.08946228,5,0,5,-0.172966,5,-0.4549427
,,5.1,0,5.1,-0.07023144,5.1,0,5.1,-0.1579437,5.1,-0.3638802
,,5.2,0,5.2,-0.05247021,5.2,0,5.2,-0.1446066,5.2,-0.2664537
,,5.3,0,5.3,-0.03678417,5.3,0,5.3,-0.1531925,5.3,-0.2622213
,,5.4,0,5.4,-0.0228157,5.4,0,5.4,-0.1448793,5.4,-0.1855307
,,5.5,0,5.5,-0.01252556,5.5,0,5.5,-0.1471462,5.5,-0.435997
,,5.6,0,5.6,-0.005023956,5.6,0,5.6,-0.1446247,5.6,-0.3135185
,,5.7,0,5.7,-0.001605988,5.7,0,5.7,-0.07181263,5.7,-0.2694397
,,5.8,0,5.8,-0.000104904,5.8,0,5.8,-0.02112198,5.8,-0.3906221
,,5.9,0,5.9,-9.537E-07,5.9,0,5.9,-0.002331734,5.9,-0.4528933
,,6,0,6,0,6,0,6,0,6,-0.3021832
