Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
1.4,4.37300192,1.5,2.592558,1.5,5.847091,1.5,3.559415,1.5,1.034411,1.5,2.750096
1.6,-1.59559448,1.6,0.3639717,1.6,3.221612,1.6,0.5088091,1.6,-0.9636908,1.6,1.159458
1.8,-3.17602006,1.7,-1.160831,1.7,1.2751,1.7,-0.775795,1.7,-2.291156,1.7,-0.5866289
1.9,-3.29744521,1.8,-2.086411,1.8,-0.1784763,1.8,-1.411562,1.8,-3.089826,1.8,-1.615698
2,-3.22649941,1.9,-2.431952,1.9,-1.158349,1.9,-1.709909,1.9,-3.461645,1.9,-1.737955
2.3,-2.72278763,2,-2.3402,2,-1.752579,2,-1.835216,2,-3.507954,2,-1.437605
2.8,-2.30401739,2.1,-2.138277,2.1,-2.022527,2.1,-1.860087,2.1,-3.407268,2.1,-1.559306
3,-2.09111552,2.2,-2.153395,2.2,-2.036625,2.2,-1.850476,2.2,-3.243045,2.2,-1.637671
3.5,-1.45394922,2.3,-2.244793,2.3,-1.907722,2.3,-1.782166,2.3,-3.088164,2.3,-1.470115
4.5,-0.49080965,2.4,-2.210035,2.4,-1.73138,2.4,-1.686568,2.4,-2.975245,2.4,-1.10029
5.5,-0.13226446,2.5,-2.069962,2.5,-1.548285,2.5,-1.586072,2.5,-2.861782,2.5,-0.4726
7,-0.01114337,2.6,-1.820238,2.6,-1.392252,2.6,-1.496345,2.6,-2.743021,2.6,0.2624817
,,2.7,-1.584753,2.7,-1.265276,2.7,-1.419629,2.7,-2.601736,2.7,0.3539085
,,2.8,-1.485851,2.8,-1.162344,2.8,-1.364743,2.8,-2.437144,2.8,-0.1938477
,,2.9,-1.440207,2.9,-1.069139,2.9,-1.314037,2.9,-2.256569,2.9,-0.3904171
,,3,-1.430424,3,-0.983766,3,-1.259682,3,-2.089271,3,-0.6201572
,,3.1,-1.455589,3.1,-0.8965759,3.1,-1.203439,3.1,-1.952812,3.1,-0.993373
,,3.2,-1.537895,3.2,-0.8090372,3.2,-1.138483,3.2,-1.827172,3.2,-2.094713
,,3.3,-1.661045,3.3,-0.7255068,3.3,-1.074243,3.3,-1.701647,3.3,-0.1573963
,,3.4,-1.630539,3.4,-0.6422014,3.4,-1.005604,3.4,-1.580196,3.4,-0.1277065
,,3.5,-1.47699,3.5,-0.5620584,3.5,-0.9293985,3.5,-1.475053,3.5,-0.01704597
,,3.6,-1.205137,3.6,-0.4845095,3.6,-0.8505802,3.6,-1.382788,3.6,0.2835093
,,3.7,-1.023815,3.7,-0.409071,3.7,-0.7698078,3.7,-1.291436,3.7,0.3945427
,,3.8,-0.9421902,3.8,-0.3370733,3.8,-0.6896534,3.8,-1.192031,3.8,0.3678875
,,3.9,-0.9123936,3.9,-0.2705822,3.9,-0.6151161,3.9,-1.086018,3.9,0.4849949
,,4,-0.8552322,4,-0.2096634,4,-0.5403843,4,-0.985384,4,0.3582993
,,4.1,-0.752491,4.1,-0.1593008,4.1,-0.4709263,4.1,-0.8936596,4.1,0.4066267
,,4.2,-0.6304588,4.2,-0.115159,4.2,-0.400178,4.2,-0.8045015,4.2,0.296134
,,4.3,-0.5034904,4.3,-0.08148766,4.3,-0.3305588,4.3,-0.7110491,4.3,0.4843473
,,4.4,-0.3794403,4.4,-0.05377483,4.4,-0.2722282,4.4,-0.6290751,4.4,0.5210505
,,4.5,-0.2667656,4.5,-0.03368282,4.5,-0.2193174,4.5,-0.5648899,4.5,0.3425226
,,4.6,-0.1725445,4.6,-0.01933479,4.6,-0.1687393,4.6,-0.4971218,4.6,0.2955523
,,4.7,-0.0994492,4.7,-0.009414673,4.7,-0.1231422,4.7,-0.4249897,4.7,0.4191217
,,4.8,-0.05016327,4.8,-0.00502491,4.8,-0.06682205,4.8,-0.3727179,4.8,0.1384611
,,4.9,-0.01971626,4.9,-0.00201416,4.9,-0.02048969,4.9,-0.3732462,4.9,0.3014021
,,5,0,5,-0.001525879,5,0,5,-0.3327446,5,0.4083309
,,5.1,0,5.1,-0.001812935,5.1,0,5.1,-0.2504339,5.1,0.3205128
,,5.2,0,5.2,-0.001553535,5.2,0,5.2,-0.2021561,5.2,0.1583633
,,5.3,0,5.3,-0.002526283,5.3,0,5.3,-0.1335402,5.3,0.2142715
,,5.4,0,5.4,-0.00165844,5.4,0,5.4,-0.09089565,5.4,0.03591442
,,5.5,0,5.5,-0.000432968,5.5,0,5.5,-0.06936646,5.5,0.3180389
,,5.6,0,5.6,-0.000426292,5.6,0,5.6,-0.06707859,5.6,-0.06421471
,,5.7,0,5.7,-0.000199317,5.7,0,5.7,-0.06263638,5.7,0.01111126
,,5.8,0,5.8,-0.0005722,5.8,0,5.8,-0.02396488,5.8,-0.1641788
,,5.9,0,5.9,0,5.9,0,5.9,-0.002670288,5.9,-0.03898716
,,6,0,6,0,6,0,6,0,6,0
