Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
1.2,14.88541662,1.4,4.746347,1.4,6.639254,1.4,11.4736,1.4,2.503155,1.4,5.28094
1.4,0.52747568,1.5,2.398479,1.5,3.396447,1.5,6.645452,1.5,-0.1291847,1.5,2.33309
1.6,-2.85590083,1.6,0.2451458,1.6,1.448346,1.6,2.2345,1.6,-1.836389,1.6,-0.3568382
1.8,-3.15608897,1.7,-0.9491882,1.7,0.03725147,1.7,-0.4804325,1.7,-2.738694,1.7,-1.781535
2,-2.36000731,1.8,-1.167128,1.8,-0.828001,1.8,-1.708163,1.8,-3.060613,1.8,-2.192227
2.5,-1.50679659,1.9,-1.450441,1.9,-1.1873,1.9,-2.318912,1.9,-3.055732,1.9,-2.019328
3.5,-0.57456137,2,-1.490002,2,-1.212916,2,-2.307207,2,-2.892106,2,-1.764729
4,-0.22932558,2.1,-1.416163,2.1,-1.085369,2.1,-2.113902,2.1,-2.706916,2.1,-1.53889
4.5,-0.09222212,2.2,-1.630865,2.2,-0.8897982,2.2,-1.888148,2.2,-2.567363,2.2,-1.359426
5,-0.03901856,2.3,-1.660967,2.3,-0.6963348,2.3,-1.702119,2.3,-2.467311,2.3,-1.042018
5.5,-0.01718001,2.4,-1.80299,2.4,-0.5539875,2.4,-1.603656,2.4,-2.299348,2.4,-0.27493
6,-0.00789432,2.5,-1.861479,2.5,-0.4709082,2.5,-1.560352,2.5,-2.109317,2.5,0.5196047
,,2.6,-1.81781,2.6,-0.4345732,2.6,-1.524505,2.6,-1.960338,2.6,0.7459106
,,2.7,-1.699499,2.7,-0.4223957,2.7,-1.47424,2.7,-1.824512,2.7,1.346025
,,2.8,-1.487666,2.8,-0.421977,2.8,-1.400721,2.8,-1.652643,2.8,1.232594
,,2.9,-1.347939,2.9,-0.4190292,2.9,-1.297926,2.9,-1.486249,2.9,1.00905
,,3,-1.367519,3,-0.4125738,3,-1.174706,3,-1.37536,3,1.390732
,,3.1,-1.383422,3.1,-0.3975801,3.1,-1.048854,3.1,-1.285963,3.1,-0.1117611
,,3.2,-1.340822,3.2,-0.3761845,3.2,-0.9240522,3.2,-1.191266,3.2,-0.6257725
,,3.3,-1.274525,3.3,-0.3474693,3.3,-0.8152246,3.3,-1.090336,3.3,-0.6978168
,,3.4,-1.135127,3.4,-0.3145332,3.4,-0.7159042,3.4,-0.992854,3.4,-0.7729292
,,3.5,-0.9676485,3.5,-0.2801151,3.5,-0.6266584,3.5,-0.9052324,3.5,-0.5514288
,,3.6,-0.8548012,3.6,-0.2467718,3.6,-0.5509815,3.6,-0.8266392,3.6,-0.2934666
,,3.7,-0.8183203,3.7,-0.2143183,3.7,-0.4810734,3.7,-0.7588835,3.7,0.04522705
,,3.8,-0.8065071,3.8,-0.1836443,3.8,-0.4183435,3.8,-0.6988153,3.8,0.02592087
,,3.9,-0.7918692,3.9,-0.1563864,3.9,-0.3616343,3.9,-0.6405592,3.9,0.144496
,,4,-0.7823191,4,-0.1322985,4,-0.3105307,4,-0.5842409,4,0.1023197
,,4.1,-0.7491388,4.1,-0.111866,4.1,-0.2686071,4.1,-0.5253468,4.1,0.364563
,,4.2,-0.6875191,4.2,-0.09378433,4.2,-0.2289848,4.2,-0.465766,4.2,0.2398853
,,4.3,-0.6119328,4.3,-0.07865047,4.3,-0.19151588,4.3,-0.4103422,4.3,0.06136703
,,4.4,-0.521553,4.4,-0.06629562,4.4,-0.1561413,4.4,-0.3600168,4.4,-0.05001736
,,4.5,-0.4116697,4.5,-0.0547142,4.5,-0.1299992,4.5,-0.3173275,4.5,-0.09402657
,,4.6,-0.2893009,4.6,-0.04597855,4.6,-0.098484,4.6,-0.279521,4.6,0.1129303
,,4.7,-0.1734581,4.7,-0.03745842,4.7,-0.06855869,4.7,-0.2541418,4.7,0.1623859
,,4.8,-0.08321285,4.8,-0.031353,4.8,-0.0411129,4.8,-0.2240763,4.8,-0.01704407
,,4.9,-0.02689266,4.9,-0.0254755,4.9,-0.01065445,4.9,-0.1882477,4.9,-0.1530399
,,5,0,5,-0.02096081,5,0,5,-0.1604586,5,-0.4133568
,,5.1,0,5.1,-0.01674175,5.1,0,5.1,-0.1294622,5.1,-0.3157501
,,5.2,0,5.2,-0.01294422,5.2,0,5.2,-0.09389877,5.2,-0.1484318
,,5.3,0,5.3,-0.0098362,5.3,0,5.3,-0.05751801,5.3,-0.1697283
,,5.4,0,5.4,-0.006515503,5.4,0,5.4,-0.02723885,5.4,-0.3202477
,,5.5,0,5.5,-0.003748894,5.5,0,5.5,-0.01063442,5.5,-0.2926083
,,5.6,0,5.6,-0.001498222,5.6,0,5.6,-0.01917458,5.6,-0.2894497
,,5.7,0,5.7,-0.00049591,5.7,0,5.7,-0.03294659,5.7,-0.0585289
,,5.8,0,5.8,-0.00012874,5.8,0,5.8,-0.01498985,5.8,-0.1153183
,,5.9,0,5.9,0,5.9,0,5.9,-0.001974106,5.9,-0.2534609
,,6,0,6,0,6,0,6,0,6,-0.3802471
