r(A),g3D_Au-Au
0.01,0
0.03,0
0.05,0
0.07,0
0.09,0
0.11,0
0.13,0
0.15,0
0.17,0
0.19,0
0.21,0
0.23,0
0.25,0
0.27,0
0.29,0
0.31,0
0.33,0
0.35,0
0.37,0
0.39,0
0.41,0
0.43,0
0.45,0
0.47,0
0.49,0
0.51,0
0.53,0
0.55,0
0.57,0
0.59,0
0.61,0
0.63,0
0.65,0
0.67,0
0.69,0
0.71,0
0.73,0
0.75,0
0.77,0
0.79,0
0.81,0
0.83,0
0.85,0
0.87,0
0.89,0
0.91,0
0.93,0
0.95,0
0.97,0
0.99,0
1.01,0
1.03,0
1.05,0
1.07,0
1.09,0
1.11,0
1.13,0
1.15,0
1.17,0
1.19,0
1.21,0
1.23,0
1.25,0
1.27,0
1.29,0
1.31,0
1.33,0
1.35,0
1.37,0
1.39,0
1.41,0
1.43,0
1.45,0
1.47,0
1.49,0
1.51,0
1.53,0
1.55,0
1.57,0
1.59,0
1.61,0
1.63,0
1.65,0
1.67,0
1.69,0
1.71,0
1.73,0
1.75,0
1.77,0
1.79,0
1.81,0
1.83,0
1.85,0
1.87,0
1.89,0
1.91,0
1.93,0
1.95,0
1.97,0
1.99,0
2.01,0
2.03,0
2.05,0
2.07,0
2.09,0
2.11,0
2.13,0
2.15,0
2.17,0
2.19,0
2.21,0.000579428
2.23,0
2.25,0
2.27,0.000247062
2.29,0.002305669
2.31,0.003445902
2.33,0.005479338
2.35,0.013342683
2.37,0.015076637
2.39,0.022291127
2.41,0.034604436
2.43,0.056970542
2.45,0.090655944
2.47,0.113737146
2.49,0.179855087
2.51,0.246862498
2.53,0.352003849
2.55,0.48621075
2.57,0.650570923
2.59,0.854023542
2.61,1.117884501
2.63,1.394035619
2.65,1.737113012
2.67,2.065291975
2.69,2.513854019
2.71,2.963354787
2.73,3.526759945
2.75,4.208936916
2.77,4.684982181
2.79,5.554086009
2.81,6.596087172
2.83,7.381184476
2.85,8.240654865
2.87,9.506239507
2.89,9.27667627
2.91,9.903153781
2.93,9.653561989
2.95,10.25119622
2.97,9.712296954
2.99,8.284829149
3.01,7.305286869
3.03,6.695854728
3.05,6.256501299
3.07,5.087083594
3.09,4.3426911
3.11,3.529344793
3.13,3.0163649
3.15,2.47517823
3.17,2.13642997
3.19,1.936588574
3.21,1.68297528
3.23,1.444669194
3.25,1.291230637
3.27,1.159639802
3.29,1.02107055
3.31,0.907470247
3.33,0.808823841
3.35,0.708501613
3.37,0.647063856
3.39,0.581634765
3.41,0.537399364
3.43,0.494752441
3.45,0.448767129
3.47,0.423981326
3.49,0.382541805
3.51,0.369932791
3.53,0.353166803
3.55,0.331565667
3.57,0.323391052
3.59,0.297589772
