Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,-1.57E-05
5.8,0,5.8,-2.35E-04
5.7,-0.00012207,5.7,-0.001090992
5.6,-0.000488281,5.6,-0.003101252
5.5,-0.001098633,5.5,-0.006680046
5.4,-0.002197265,5.4,-0.012013841
5.3,-0.003784179,5.3,-0.019033369
5.2,-0.006225586,5.2,-0.027476827
5.1,-0.009643554,5.1,-0.037001922
5,-0.014526367,5,-0.047292944
4.9,-0.021484375,4.9,-0.058120427
4.8,-0.03137207,4.8,-0.069347925
4.7,-0.045410156,4.7,-0.080930431
4.6,-0.063598633,4.6,-0.092960925
4.5,-0.085205078,4.5,-0.105757384
4.4,-0.107910156,4.4,-0.119899409
4.3,-0.129394531,4.3,-0.136139583
4.2,-0.149169922,4.2,-0.155252092
4.1,-0.169799804,4.1,-0.178005096
4,-0.196655273,4,-0.205391329
3.9,-0.237182617,3.9,-0.238992673
3.8,-0.298339843,3.8,-0.281084422
3.7,-0.385009765,3.7,-0.334143804
3.6,-0.495971679,3.6,-0.399856923
3.5,-0.620117188,3.5,-0.478008856
3.4,-0.736328125,3.4,-0.565384002
3.3,-0.819702148,3.3,-0.654619657
3.2,-0.848388672,3.2,-0.733553841
3.1,-0.807373047,3.1,-0.785717631
3,-0.692260742,3,-0.791796058
2.9,-0.516845703,2.9,-0.731792534
2.8,-0.312988281,2.8,-0.587629457
2.7,-0.113647461,2.7,-0.34647376
2.6,0.059936524,2.6,-0.006933663
2.5,0.189941407,2.5,0.422075442
2.4,0.252563477,2.4,0.95022933
2.3,0.232788086,2.3,1.625264716
2.2,0.143066407,2.2,2.480161463
2.1,0.015747071,2.1,3.406845373
2,-0.12512207,2,4.122339726
1.9,-0.277954101,1.9,4.659019532
1.8,-0.471923828,1.8,5.243100226
1.7,-0.762207031,1.7,6.298104315
1.6,-1.119262695,1.6,8.643772234
1.5,-1.439575195,1.5,12.31291122
1.4,-1.647216797,1.4,15.7264904
1.3,-1.68359375,1.3,18.11041795
1.2,-1.526733398,1.2,20.03815085
1.1,-1.301269531,1.1,21.69254787
1,-1.296386718,1,27.48595406
0.9,-1.596313476,0.9,38.05559795
0.8,-1.74633789,0.8,74.8761735
0.7,-1.182861328,0.7,299.3212572
0.6,-0.605957031,0.6,2316.635012
0.5,-0.610595703,0.5,1753.024766
0.4,-1.213500976,0.4,-38441.12627
0.3,-1.063720703,0.3,-352312.1088
0.2,-0.681030273,0.2,-1510937.489
0.1,-1.183959961,0.1,-3587387.561
