Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,-6.54E-06
5.8,-0.000244141,5.8,-9.77E-05
5.7,-0.000976563,5.7,-0.000451861
5.6,-0.002807617,5.6,-0.001276819
5.5,-0.005859375,5.5,-0.002732839
5.4,-0.010131836,5.4,-0.004882335
5.3,-0.01550293,5.3,-0.007680033
5.2,-0.021728516,5.2,-0.01100027
5.1,-0.028442383,5.1,-0.014684809
5,-0.035400391,5,-0.018588075
4.9,-0.042236328,4.9,-0.02260347
4.8,-0.049316406,4.8,-0.026677011
4.7,-0.056884766,4.7,-0.03083719
4.6,-0.065673828,4.6,-0.035262035
4.5,-0.075561524,4.5,-0.040358933
4.4,-0.08569336,4.4,-0.046789348
4.3,-0.095581055,4.3,-0.055381477
4.2,-0.10546875,4.2,-0.066946929
4.1,-0.116333008,4.1,-0.08209878
4,-0.12902832,4,-0.101180934
3.9,-0.142578125,3.9,-0.124340541
3.8,-0.15625,3.8,-0.15168223
3.7,-0.169799805,3.7,-0.18342881
3.6,-0.185058594,3.6,-0.22005664
3.5,-0.205078125,3.5,-0.262365315
3.4,-0.233520508,3.4,-0.311380583
3.3,-0.273071289,3.3,-0.36814347
3.2,-0.326293945,3.2,-0.433717262
3.1,-0.395629883,3.1,-0.50946696
3,-0.483886719,3,-0.597363977
2.9,-0.594482422,2.9,-0.700195603
2.8,-0.730834961,2.8,-0.821511296
2.7,-0.894775391,2.7,-0.965361577
2.6,-1.083496094,2.6,-1.133914835
2.5,-1.289916992,2.5,-1.323969829
2.4,-1.505126953,2.4,-1.52976987
2.3,-1.721679688,2.3,-1.740389808
2.2,-1.929199219,2.2,-1.935821137
2.1,-2.110229492,2.1,-2.102951576
2,-2.239501953,2,-2.210693368
1.9,-2.282348633,1.9,-2.187389632
1.8,-2.203125,1.8,-1.991776718
1.7,-2.024536133,1.7,-1.640753994
1.6,-1.814697266,1.6,-1.12727283
1.5,-1.613891602,1.5,-0.573842686
1.4,-1.4453125,1.4,-0.044152202
1.3,-1.29699707,1.3,0.561261586
1.2,-1.246459961,1.2,1.324571763
1.1,-1.37109375,1.1,2.981226027
1,-1.543334961,1,6.793348509
0.9,-1.529052735,0.9,16.95277017
0.8,-1.150024414,0.8,55.50893114
0.7,-0.461669922,0.7,231.6685813
0.6,0.08618164,0.6,1171.615981
0.5,0.034057617,0.5,-2141.578424
0.4,-0.527587891,0.4,-39118.74947
0.3,-0.862060547,0.3,-140300.881
0.2,-0.419311524,0.2,-288829.2448
0.1,-0.121337891,0.1,-406434.8537
