Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,-1.18E-06
5.8,0.00012207,5.8,-1.87E-05
5.7,0.000244141,5.7,-9.2913E-05
5.6,0.000732422,5.6,-0.000284199
5.5,0.001220703,5.5,-0.000657546
5.4,0.001708984,5.4,-0.001266691
5.3,0.002075195,5.3,-0.002146861
5.2,0.002075195,5.2,-0.003313114
5.1,0.001953125,5.1,-0.004754263
5,0.001586914,5,-0.006425192
4.9,0.000488281,4.9,-0.008257667
4.8,-0.002075195,4.8,-0.010207547
4.7,-0.006958008,4.7,-0.012331258
4.6,-0.014404297,4.6,-0.01485411
4.5,-0.02355957,4.5,-0.018176785
4.4,-0.032958984,4.4,-0.022779865
4.3,-0.040771484,4.3,-0.0290416
4.2,-0.046264649,4.2,-0.037074418
4.1,-0.049682617,4.1,-0.046765928
4,-0.051635742,4,-0.05819171
3.9,-0.053955078,3.9,-0.07235085
3.8,-0.058837891,3.8,-0.09181138
3.7,-0.069213867,3.7,-0.120716716
3.6,-0.087280274,3.6,-0.163997734
3.5,-0.114501953,3.5,-0.22613525
3.4,-0.151733399,3.4,-0.309844425
3.3,-0.198974609,3.3,-0.414898068
3.2,-0.25378418,3.2,-0.537583578
3.1,-0.307739258,3.1,-0.67145646
3,-0.348754883,3,-0.809055792
2.9,-0.369750976,2.9,-0.942304148
2.8,-0.372924805,2.8,-1.05924965
2.7,-0.364990234,2.7,-1.142543639
2.6,-0.348632813,2.6,-1.176531965
2.5,-0.318725586,2.5,-1.149575074
2.4,-0.268554688,2.4,-1.044216399
2.3,-0.204101563,2.3,-0.834902008
2.2,-0.150390625,2.2,-0.504498097
2.1,-0.139160156,2.1,-0.064396202
2,-0.186401367,2,0.448402592
1.9,-0.282226563,1.9,0.934323141
1.8,-0.424926758,1.8,1.400237655
1.7,-0.674926758,1.7,1.721806788
1.6,-1.05871582,1.6,1.957520367
1.5,-1.445800781,1.5,2.054920096
1.4,-1.650268555,1.4,2.339010434
1.3,-1.576782226,1.3,3.234325938
1.2,-1.236450195,1.2,4.37444052
1.1,-0.809448242,1.1,6.174601415
1,-0.66015625,1,9.932106377
0.9,-0.995117188,0.9,16.1308679
0.8,-1.332275391,0.8,26.73424466
0.7,-1.14465332,0.7,139.9266581
0.6,-0.876220703,0.6,2152.061598
0.5,-0.881713867,0.5,19734.85001
0.4,-0.904174805,0.4,99228.15615
0.3,-0.383544922,0.3,292801.171
0.2,1.704589844,0.2,520551.8778
0.1,6.513671875,0.1,569073.0409
