Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,1.06E-05
5.8,0.000152588,5.8,1.58E-04
5.7,0.000610352,5.7,0.000732831
5.6,0.001617432,5.6,0.002073583
5.5,0.003112793,5.5,0.004446205
5.4,0.004974365,5.4,0.00795788
5.3,0.007110596,5.3,0.012533096
5.2,0.009521484,5.2,0.017951437
5.1,0.012451172,5.1,0.02393334
5,0.016204834,5,0.030240937
4.9,0.020996094,4.9,0.036747282
4.8,0.026763916,4.8,0.043439227
4.7,0.033325195,4.7,0.05036148
4.6,0.040649414,4.6,0.057547961
4.5,0.04901123,4.5,0.064982059
4.4,0.058776855,4.4,0.072589755
4.3,0.069854736,4.3,0.080242518
4.2,0.081512451,4.2,0.087745911
4.1,0.09262085,4.1,0.094805896
4,0.10244751,4,0.101000649
3.9,0.111114502,3.9,0.105818496
3.8,0.119873047,3.8,0.108800232
3.7,0.130187988,3.7,0.109756966
3.6,0.143035889,3.6,0.108951425
3.5,0.158233643,3.5,0.107029224
3.4,0.174835205,3.4,0.104545666
3.3,0.191711426,3.3,0.101300413
3.2,0.207641602,3.2,0.095955564
3.1,0.220733643,3.1,0.086201169
3,0.229278564,3,0.069428304
2.9,0.233398438,2.9,0.04357412
2.8,0.234832764,2.8,0.007449735
2.7,0.233062744,2.7,-0.039842232
2.6,0.221069336,2.6,-0.10027516
2.5,0.18649292,2.5,-0.1799885
2.4,0.117095947,2.4,-0.293265765
2.3,0.003540039,2.3,-0.453465659
2.2,-0.162750244,2.2,-0.662533052
2.1,-0.386199951,2.1,-0.919158635
2,-0.650299072,2,-1.22589137
1.9,-0.928039551,1.9,-1.604887052
1.8,-1.220733643,1.8,-2.030826425
1.7,-1.533569336,1.7,-2.428429258
1.6,-1.830780029,1.6,-2.816337856
1.5,-2.089477539,1.5,-3.173639485
1.4,-2.344024658,1.4,-3.47063531
1.3,-2.564056397,1.3,-3.725236414
1.2,-2.612426758,1.2,-3.797297372
1.1,-2.406555176,1.1,-3.589130251
1,-2.0362854,1,-3.139937907
0.9,-1.781860352,0.9,-2.420178646
0.8,-1.700714111,0.8,-1.071806578
0.7,-1.316894531,0.7,0.766687784
0.6,-0.840393066,0.6,10.85697732
0.5,-0.642211914,0.5,587.1481391
0.4,-0.616516113,0.4,8574.248773
0.3,-0.755371094,0.3,53618.39514
0.2,-0.926208496,0.2,181617.5397
0.1,-1.019989014,0.1,367733.1684
