Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,-2.22E-06
5.8,-0.00024414,5.8,-3.38E-05
5.7,-0.000976563,5.7,-0.000160545
5.6,-0.002929688,5.6,-0.000470442
5.5,-0.006103515,5.5,-0.001054157
5.4,-0.010620117,5.4,-0.00199679
5.3,-0.016235351,5.3,-0.003385077
5.2,-0.022583008,5.2,-0.00531982
5.1,-0.028930664,5.1,-0.0079121
5,-0.034667969,5,-0.011246668
4.9,-0.039672851,4.9,-0.015318434
4.8,-0.044555664,4.8,-0.019981967
4.7,-0.050537109,4.7,-0.024973827
4.6,-0.059082031,4.6,-0.030035957
4.5,-0.0703125,4.5,-0.035088655
4.4,-0.083496094,4.4,-0.04034422
4.3,-0.098144531,4.3,-0.046287455
4.2,-0.115112305,4.2,-0.053562168
4.1,-0.136108398,4.1,-0.062892637
4,-0.161132813,4,-0.075127489
3.9,-0.188110351,3.9,-0.091325464
3.8,-0.214111328,3.8,-0.112697666
3.7,-0.23815918,3.7,-0.140390915
3.6,-0.262451172,3.6,-0.175416991
3.5,-0.290893555,3.5,-0.218995877
3.4,-0.327026367,3.4,-0.272952837
3.3,-0.372314453,3.3,-0.339520549
3.2,-0.428710938,3.2,-0.420862446
3.1,-0.499145508,3.1,-0.519269728
3,-0.586791992,3,-0.638049696
2.9,-0.691040039,2.9,-0.781800981
2.8,-0.809326172,2.8,-0.954698224
2.7,-0.942016601,2.7,-1.158818462
2.6,-1.096069336,2.6,-1.393467532
2.5,-1.280273438,2.5,-1.652560894
2.4,-1.499755859,2.4,-1.925230612
2.3,-1.757202148,2.3,-2.195601201
2.2,-2.053466797,2.2,-2.448064114
2.1,-2.381225586,2.1,-2.68631429
2,-2.720336914,2,-2.92997731
1.9,-3.052978515,1.9,-3.208465643
1.8,-3.366455078,1.8,-3.531048517
1.7,-3.632080078,1.7,-3.816856677
1.6,-3.800292969,1.6,-3.9810726
1.5,-3.790893555,1.5,-4.007368987
1.4,-3.613769531,1.4,-3.857851798
1.3,-3.453979492,1.3,-3.405348811
1.2,-3.455078125,1.2,-2.701296392
1.1,-3.541748047,1.1,-1.567712103
1,-3.504272461,1,0.64243426
0.9,-3.174194336,0.9,5.102099947
0.8,-2.390258789,0.8,33.96618685
0.7,-1.193969726,0.7,306.0851522
0.6,-0.446166992,0.6,2070.465701
0.5,-0.740600586,0.5,9852.735795
0.4,-1.803466797,0.4,23421.69414
0.3,-3.021240234,0.3,88387.18069
0.2,-3.763671875,0.2,318600.2811
0.1,-3.964355469,0.1,685092.0595
