Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,7.18E-06
5.8,0.00024414,5.8,1.07E-04
5.7,0.000854492,5.7,0.000495598
5.6,0.002197265,5.6,0.001404462
5.5,0.00402832,5.5,0.003026092
5.4,0.005981445,5.4,0.00545912
5.3,0.007568359,5.3,0.008680848
5.2,0.008300781,5.2,0.012550597
5.1,0.008300781,5.1,0.016846486
5,0.00793457,5,0.021316271
4.9,0.007324218,4.9,0.025699812
4.8,0.006835938,4.8,0.029693705
4.7,0.006713867,4.7,0.032882564
4.6,0.007080078,4.6,0.034708905
4.5,0.008422851,4.5,0.034544547
4.4,0.011474609,4.4,0.031868988
4.3,0.017089843,4.3,0.026502554
4.2,0.026611328,4.2,0.018800971
4.1,0.041015625,4.1,0.009679728
4,0.061401367,4,0.0003449
3.9,0.088012695,3.9,-0.008239872
3.8,0.12133789,3.8,-0.015839085
3.7,0.161987304,3.7,-0.022945801
3.6,0.209594726,3.6,-0.030175276
3.5,0.262451172,3.5,-0.037467967
3.4,0.318115234,3.4,-0.043763455
3.3,0.375976563,3.3,-0.047565937
3.2,0.436401367,3.2,-0.048285266
3.1,0.497558593,3.1,-0.047974811
3,0.552001953,3,-0.05290689
2.9,0.58984375,2.9,-0.073285918
2.8,0.604125976,2.8,-0.11913002
2.7,0.588867188,2.7,-0.194340015
2.6,0.537109375,2.6,-0.291696502
2.5,0.458618164,2.5,-0.38530088
2.4,0.399780273,2.4,-0.433882462
2.3,0.415283203,2.3,-0.41464373
2.2,0.51196289,2.2,-0.319855344
2.1,0.647827148,2.1,-0.099699856
2,0.796508789,2,0.308525113
1.9,0.942626953,1.9,0.84588543
1.8,0.989013672,1.8,1.592728416
1.7,0.870117188,1.7,2.555665928
1.6,0.614624023,1.6,3.620632975
1.5,0.231445313,1.5,4.597215876
1.4,-0.223754883,1.4,5.31718824
1.3,-0.659545899,1.3,5.654226069
1.2,-0.996215821,1.2,5.730213725
1.1,-1.201049805,1.1,5.942357633
1,-1.259155274,1,7.426942506
0.9,-1.166015625,0.9,16.03653514
0.8,-0.893676758,0.8,97.37512449
0.7,-0.530395508,0.7,1440.017378
0.6,-0.322021485,0.6,25686.12372
0.5,-0.098266602,0.5,227020.3981
0.4,0.311767578,0.4,1265759.991
0.3,0.759277343,0.3,4980405.002
0.2,2.629272461,0.2,13062665.16
0.1,10.83557129,0.1,22942340.68
