Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,-1.0176E-05
5.8,0.000244141,5.8,-0.000150739
5.7,0.000732422,5.7,-0.000686423
5.6,0.001953125,5.6,-0.001898347
5.5,0.003173829,5.5,-0.003956284
5.4,0.004150391,5.4,-0.006864549
5.3,0.00390625,5.3,-0.010504487
5.2,0.002197266,5.2,-0.014744353
5.1,-0.001464843,5.1,-0.019552173
5,-0.006591796,5,-0.025039066
4.9,-0.013427734,4.9,-0.031385431
4.8,-0.021484375,4.8,-0.038675155
4.7,-0.031005859,4.7,-0.046759867
4.6,-0.041503906,4.6,-0.055303165
4.5,-0.052978515,4.5,-0.064039568
4.4,-0.064941406,4.4,-0.073096835
4.3,-0.078125,4.3,-0.08316319
4.2,-0.093017578,4.2,-0.09543061
4.1,-0.110839843,4.1,-0.111453406
4,-0.131591796,4,-0.133069103
3.9,-0.154296875,3.9,-0.162333094
3.8,-0.177001953,3.8,-0.201317257
3.7,-0.197753906,3.7,-0.251779693
3.6,-0.216308593,3.6,-0.314911144
3.5,-0.235107421,3.5,-0.391381458
3.4,-0.258789062,3.4,-0.481799935
3.3,-0.291992187,3.3,-0.587638826
3.2,-0.338134765,3.2,-0.712650293
3.1,-0.399414062,3.1,-0.864456627
3,-0.477294921,3,-1.055408738
2.9,-0.576660156,2.9,-1.301547036
2.8,-0.711425781,2.8,-1.618951205
2.7,-0.905517578,2.7,-2.020894203
2.6,-1.184326171,2.6,-2.518287028
2.5,-1.551269531,2.5,-3.113970606
2.4,-1.966064453,2.4,-3.791836556
2.3,-2.376708984,2.3,-4.510185157
2.2,-2.78149414,2.2,-5.219841131
2.1,-3.210449218,2.1,-5.914557578
2,-3.666503906,2,-6.636507346
1.9,-4.106933593,1.9,-7.39372987
1.8,-4.47290039,1.8,-8.014519925
1.7,-4.747314453,1.7,-8.195668399
1.6,-4.89477539,1.6,-7.791550048
1.5,-4.755859375,1.5,-6.772613246
1.4,-4.18383789,1.4,-5.068743689
1.3,-3.309082031,1.3,-2.354204799
1.2,-2.442871093,1.2,2.725446075
1.1,-1.629638671,1.1,11.19411673
1,-0.864257812,1,22.74959122
0.9,-0.878662109,0.9,40.44059905
0.8,-1.818359375,0.8,118.9662969
0.7,-3.064208984,0.7,440.857116
0.6,-3.656005859,0.6,2133.212617
0.5,-2.934570312,0.5,10379.38871
0.4,-3.392333984,0.4,43706.75146
0.3,-5.688964843,0.3,147634.0798
0.2,-8.296386718,0.2,363909.9043
0.1,-10.78808594,0.1,628041.6128
