Ang,Trained from scratch (TS),Ang,Fine-tuned (FT)
6,0,6,0
5.9,0,5.9,-5.973E-06
5.8,0,5.8,-8.7575E-05
5.7,-0.000488281,5.7,-0.000391388
5.6,-0.001464844,5.6,-0.001051873
5.5,-0.002929687,5.5,-0.00210774
5.4,-0.004882812,5.4,-0.003482854
5.3,-0.006835937,5.3,-0.00504748
5.2,-0.009765625,5.2,-0.006717853
5.1,-0.012695312,5.1,-0.008521262
5,-0.016601562,5,-0.010582319
4.9,-0.021972656,4.9,-0.013052248
4.8,-0.027832031,4.8,-0.01605106
4.7,-0.034667969,4.7,-0.019687997
4.6,-0.041992187,4.6,-0.024185197
4.5,-0.049804687,4.5,-0.03008841
4.4,-0.057617187,4.4,-0.038512736
4.3,-0.063964844,4.3,-0.051343087
4.2,-0.071289062,4.2,-0.071318407
4.1,-0.08203125,4.1,-0.101970871
4,-0.1015625,4,-0.147403133
3.9,-0.1328125,3.9,-0.211867164
3.8,-0.170410156,3.8,-0.299165692
3.7,-0.202148437,3.7,-0.412046552
3.6,-0.22265625,3.6,-0.551818297
3.5,-0.237304687,3.5,-0.718326987
3.4,-0.260253906,3.4,-0.910421415
3.3,-0.300292969,3.3,-1.127154628
3.2,-0.356933594,3.2,-1.36974224
3.1,-0.419433594,3.1,-1.643137667
3,-0.477050781,3,-1.954915445
2.9,-0.528320312,2.9,-2.309778444
2.8,-0.587890625,2.8,-2.699979349
2.7,-0.680175781,2.7,-3.098100291
2.6,-0.823730469,2.6,-3.464833202
2.5,-1.005859375,2.5,-3.766175063
2.4,-1.155273437,2.4,-3.977274997
2.3,-1.16015625,2.3,-4.067996796
2.2,-0.941894531,2.2,-4.002012503
2.1,-0.511230469,2.1,-3.724462631
2,0.0234375,2,-3.126885107
1.9,0.529785156,1.9,-2.148574607
1.8,0.931640625,1.8,-0.675057963
1.7,1.143554688,1.7,1.732965723
1.6,1.067871094,1.6,5.256208711
1.5,0.697753906,1.5,9.946871143
1.4,0.101074219,1.4,14.21869362
1.3,-0.572753906,1.3,15.20497999
1.2,-1.034179687,1.2,11.34479868
1.1,-1.295898437,1.1,6.019920189
1,-1.935058594,1,6.907308517
0.9,-3.387207031,0.9,21.66311124
0.8,-5.65625,0.8,62.60149566
0.7,-5.928222656,0.7,141.0354006
0.6,-5.397460937,0.6,456.0932426
0.5,-3.798339844,0.5,937.9463176
0.4,-2.464355469,0.4,1987.932423
0.3,-3.903320312,0.3,3593.751291
0.2,-8.145507812,0.2,4508.345574
0.1,-13.09521484,0.1,8451.596962
