ZS,FT,MHFT
2.21E-05,-0.030414863,0.01417968
0.001247564,-0.034657126,0.013781415
-0.002193537,-0.033839415,0.01021314
-0.011224197,-0.02714461,0.006089677
0.00212654,-0.032887522,0.018440559
0.000149341,-0.033894693,0.012137894
-0.002740511,-0.030857935,0.01069721
0.002470995,-0.03526193,0.014903292
0.000491825,-0.033868572,0.012683761
0.00251292,-0.032325594,0.018302959
7.36E-05,-0.032926632,0.01376168
-0.001799005,-0.028569731,0.010918207
-0.001332525,-0.032849717,0.011521055
-0.00599305,-0.026846654,0.011799695
-0.021396521,-0.036824694,-0.011900196
-0.020341166,-0.052139285,-0.016428418
-0.024773129,-0.034095082,-0.0159893
-0.020967944,-0.045942737,-0.014231089
-0.021792118,-0.047997691,-0.017146113
-0.020679215,-0.041879444,-0.012523733
-0.021555787,-0.046996194,-0.015637566
-0.021791004,-0.048843618,-0.015716716
-0.023815309,-0.05273319,-0.01925961
-0.023529142,-0.048227211,-0.018939304
-0.022105954,-0.043998113,-0.015283485
-0.023751843,-0.038194425,-0.015419147
0.007943227,-0.09682018,0.00789097
0.024755667,-0.099301044,0.015781637
0.022449999,-0.087795163,0.009775898
0.005904168,-0.073018606,0.002470964
0.023147209,-0.095765936,0.023615675
0.01922924,-0.088871362,0.017827871
0.021077724,-0.082732298,0.010953292
0.022505718,-0.097264425,0.017360107
0.01743389,-0.091616416,0.018868472
0.026170246,-0.098852532,0.018929384
0.023020294,-0.090673401,0.015267828
0.015593111,-0.081925551,0.008492151
0.023282552,-0.088808836,0.011248901
0.014252577,-0.077115683,0.01053929
-0.051394472,-0.146608704,-0.016151983
-0.031768091,-0.14035913,-0.00181496
-0.046847231,-0.139971815,-0.030416433
-0.053804833,-0.118095804,-0.031844809
-0.034250739,-0.146699451,0.007349664
-0.049022846,-0.133667953,-0.016404976
-0.042375652,-0.129004067,-0.021595414
-0.039668746,-0.148872744,-0.00341027
-0.057023907,-0.1397211,-0.009359951
-0.029807934,-0.14424847,0.00320055
-0.042737704,-0.140532826,-0.014419274
-0.047844827,-0.129001096,-0.02591038
-0.044119468,-0.133658448,-0.016456892
-0.048821931,-0.123327628,-0.021301885
